provincia;poblacion;codigopostalid;lat;lon
Araba/Álava;Oyón-Oion;01320;-2.437755850;42.506261620
Araba/Álava;Oyón-Oion;01322;-2.437755850;42.506261620
Araba/Álava;Peñacerrada-Urizaharra;01211;-2.714028210;42.644175120
Araba/Álava;Peñacerrada-Urizaharra;01212;-2.714028210;42.644175120
Araba/Álava;Peñacerrada-Urizaharra;01216;-2.714028210;42.644175120
Araba/Álava;"Erriberagoitia/Ribera Alta";01213;-2.910806420;42.800746820
Araba/Álava;"Erriberagoitia/Ribera Alta";01220;-2.910806420;42.800746820
Araba/Álava;"Erriberagoitia/Ribera Alta";01420;-2.910806420;42.800746820
Araba/Álava;"Erriberagoitia/Ribera Alta";01423;-2.910806420;42.800746820
Araba/Álava;"Erriberagoitia/Ribera Alta";01426;-2.910806420;42.800746820
Araba/Álava;"Erriberagoitia/Ribera Alta";01428;-2.910806420;42.800746820
Araba/Álava;"Ribera Baja/Erribera Beitia";01213;-2.917040020;42.713397920
Araba/Álava;"Ribera Baja/Erribera Beitia";01220;-2.917040020;42.713397920
Araba/Álava;Añana;01423;-2.986016340;42.801231800
Araba/Álava;Añana;01426;-2.986016340;42.801231800
Araba/Álava;Agurain/Salvatierra;01200;-2.388743910;42.850022650
Araba/Álava;Agurain/Salvatierra;01207;-2.388743910;42.850022650
Araba/Álava;Samaniego;01307;-2.679048620;42.567351970
Araba/Álava;"San Millán/Donemiliaga";01207;-2.377489020;42.873825710
Araba/Álava;"San Millán/Donemiliaga";01208;-2.377489020;42.873825710
Araba/Álava;Urkabustaiz;01440;-2.906610460;42.953040460
Araba/Álava;Urkabustaiz;01449;-2.906610460;42.953040460
Araba/Álava;Urkabustaiz;01450;-2.906610460;42.953040460
Araba/Álava;Valdegovía/Gaubea;01423;-3.098844170;42.847568960
Araba/Álava;Valdegovía/Gaubea;01426;-3.098844170;42.847568960
Araba/Álava;Valdegovía/Gaubea;01427;-3.098844170;42.847568960
Araba/Álava;Valdegovía/Gaubea;01428;-3.098844170;42.847568960
Araba/Álava;"Harana/Valle de Arana";01117;-2.331046870;42.752891940
Araba/Álava;"Villabuena de Álava/Eskuernaga";01307;-2.664529380;42.548578040
Araba/Álava;Legutio;01170;-2.642559290;42.979874400
Araba/Álava;Legutio;01171;-2.642559290;42.979874400
Araba/Álava;Legutio;01510;-2.642559290;42.979874400
Araba/Álava;Vitoria-Gasteiz;01001;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01002;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01003;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01004;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01005;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01006;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01007;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01008;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01009;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01010;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01012;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01013;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01015;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01191;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01192;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01193;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01194;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01195;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01196;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01510;-2.672756850;42.850587890
Araba/Álava;Vitoria-Gasteiz;01520;-2.672756850;42.850587890
Araba/Álava;Yécora/Iekora;01322;-2.470084900;42.569231170
Araba/Álava;Zalduondo;01208;-2.346508250;42.885809710
Araba/Álava;Zambrana;01212;-2.878065020;42.661129680
Araba/Álava;Zuia;01130;-2.818628540;42.955977630
Araba/Álava;Zuia;01139;-2.818628540;42.955977630
Araba/Álava;Zuia;01450;-2.818628540;42.955977630
Araba/Álava;"Iruña Oka/Iruña de Oca";01191;-2.814754300;42.818191260
Araba/Álava;"Iruña Oka/Iruña de Oca";01195;-2.814754300;42.818191260
Araba/Álava;"Iruña Oka/Iruña de Oca";01230;-2.814754300;42.818191260
Araba/Álava;"Iruña Oka/Iruña de Oca";01428;-2.814754300;42.818191260
Araba/Álava;Lantarón;01213;-2.966497190;42.716575570
Araba/Álava;Lantarón;01423;-2.966497190;42.716575570
Albacete;Abengibre;02250;-1.543844870;39.210007800
Albacete;Alatoz;02152;-1.360976040;39.094948430
Albacete;Albacete;02001;-1.855747450;38.995880530
Albacete;Albacete;02002;-1.855747450;38.995880530
Albacete;Albacete;02003;-1.855747450;38.995880530
Albacete;Albacete;02004;-1.855747450;38.995880530
Albacete;Albacete;02005;-1.855747450;38.995880530
Albacete;Albacete;02006;-1.855747450;38.995880530
Albacete;Albacete;02008;-1.855747450;38.995880530
Albacete;Albacete;02049;-1.855747450;38.995880530
Albacete;Albacete;02071;-1.855747450;38.995880530
Albacete;Albacete;02099;-1.855747450;38.995880530
Albacete;Albacete;02140;-1.855747450;38.995880530
Albacete;Albacete;02155;-1.855747450;38.995880530
Albacete;Albacete;02328;-1.855747450;38.995880530
Albacete;Albacete;02511;-1.855747450;38.995880530
Albacete;Albacete;02512;-1.855747450;38.995880530
Albacete;Albatana;02653;-1.522752480;38.570875400
Albacete;Alborea;02215;-1.396704490;39.278354420
Albacete;Alcadozo;02124;-1.980227500;38.648975800
Albacete;Alcadozo;02128;-1.980227500;38.648975800
Albacete;"Alcalá del Júcar";02210;-1.429326970;39.193201800
Albacete;"Alcalá del Júcar";02211;-1.429326970;39.193201800
Albacete;"Alcalá del Júcar";02214;-1.429326970;39.193201800
Albacete;"Alcalá del Júcar";02252;-1.429326970;39.193201800
Albacete;Alcaraz;02300;-2.490349570;38.664251040
Albacete;Alcaraz;02312;-2.490349570;38.664251040
Albacete;Alcaraz;02314;-2.490349570;38.664251040
Albacete;Alcaraz;02330;-2.490349570;38.664251040
Albacete;Almansa;02640;-1.094146810;38.869688110
Albacete;Alpera;02690;-1.230802450;38.959690940
Albacete;Ayna;02124;-2.070538310;38.552177460
Albacete;Ayna;02125;-2.070538310;38.552177460
Albacete;Ayna;02126;-2.070538310;38.552177460
Albacete;Ayna;02139;-2.070538310;38.552177460
Albacete;Ayna;02999;-2.070538310;38.552177460
Albacete;Balazote;02320;-2.150967320;38.883961560
Albacete;"Balsa de Ves";02213;-1.196500120;39.264612530
Albacete;"Balsa de Ves";02214;-1.196500120;39.264612530
Albacete;"El Ballestero";02614;-2.455086330;38.842521960
Albacete;Barrax;02639;-2.200456370;39.045610600
Albacete;Bienservida;02360;-2.611842430;38.516020970
Albacete;Bogarra;02130;-2.212536360;38.580254270
Albacete;Bogarra;02138;-2.212536360;38.580254270
Albacete;Bogarra;02139;-2.212536360;38.580254270
Albacete;Bogarra;02448;-2.212536360;38.580254270
Albacete;Bonete;02691;-1.348303240;38.869505890
Albacete;"El Bonillo";02610;-2.540236910;38.950123620
Albacete;"El Bonillo";02613;-2.540236910;38.950123620
Albacete;Carcelén;02153;-1.308767080;39.102311760
Albacete;"Casas de Juan Núñez";02151;-1.557990350;39.101607490
Albacete;"Casas de Lázaro";02329;-2.239223780;38.770575800
Albacete;"Casas de Ves";02212;-1.334549920;39.259461220
Albacete;Casas-Ibáñez;02200;-1.471291430;39.287016860
Albacete;Caudete;02660;-0.988691200;38.705730090
Albacete;Cenizate;02247;-1.661133490;39.303321010
Albacete;Corral-Rubio;02693;-1.460852500;38.835000720
Albacete;Cotillas;02461;-2.505745450;38.431359150
Albacete;"Chinchilla de Monte-Aragón";02156;-1.726026430;38.921096800
Albacete;"Chinchilla de Monte-Aragón";02510;-1.726026430;38.921096800
Albacete;"Chinchilla de Monte-Aragón";02520;-1.726026430;38.921096800
Albacete;"Chinchilla de Monte-Aragón";02529;-1.726026430;38.921096800
Albacete;"Chinchilla de Monte-Aragón";02692;-1.726026430;38.921096800
Albacete;"Chinchilla de Monte-Aragón";02695;-1.726026430;38.921096800
Albacete;"Elche de la Sierra";02430;-2.047813760;38.447908930
Albacete;"Elche de la Sierra";02439;-2.047813760;38.447908930
Albacete;"Elche de la Sierra";02449;-2.047813760;38.447908930
Albacete;"Elche de la Sierra";02470;-2.047813760;38.447908930
Albacete;Férez;02436;-2.009539340;38.355670130
Albacete;Fuensanta;02637;-2.067252190;39.244660010
Albacete;Fuente-Álamo;02651;-1.431704110;38.693142290
Albacete;Fuentealbilla;02249;-1.548793640;39.267735790
Albacete;Fuentealbilla;02251;-1.548793640;39.267735790
Albacete;Fuentealbilla;02260;-1.548793640;39.267735790
Albacete;"La Gineta";02110;-1.997844960;39.113879160
Albacete;Golosalvo;02253;-1.636268630;39.239960130
Albacete;Hellín;02400;-1.703449210;38.512189530
Albacete;Hellín;02409;-1.703449210;38.512189530
Albacete;Hellín;02420;-1.703449210;38.512189530
Albacete;Hellín;02490;-1.703449210;38.512189530
Albacete;Hellín;02498;-1.703449210;38.512189530
Albacete;Hellín;02499;-1.703449210;38.512189530
Albacete;"La Herrera";02162;-2.126372360;38.962177400
Albacete;Higueruela;02690;-1.445356090;38.964550260
Albacete;Higueruela;02694;-1.445356090;38.964550260
Albacete;Hoya-Gonzalo;02696;-1.556870530;38.957873520
Albacete;Jorquera;02248;-1.520613910;39.174574410
Albacete;Jorquera;02249;-1.520613910;39.174574410
Albacete;Letur;02434;-2.100968810;38.366320810
Albacete;Lezuza;02160;-2.353874270;38.948789960
Albacete;Lezuza;02161;-2.353874270;38.948789960
Albacete;Liétor;02124;-1.954793190;38.540837450
Albacete;Liétor;02142;-1.954793190;38.540837450
Albacete;Liétor;02410;-1.954793190;38.540837450
Albacete;Madrigueras;02230;-1.799701200;39.236803390
Albacete;Mahora;02240;-1.724818370;39.213030880
Albacete;Masegoso;02314;-2.315117680;38.718778130
Albacete;Minaya;02620;-2.319619730;39.271187010
Albacete;Molinicos;02440;-2.238981510;38.467781790
Albacete;Molinicos;02448;-2.238981510;38.467781790
Albacete;Molinicos;02449;-2.238981510;38.467781790
Albacete;Montalvos;02638;-2.027693410;39.167214390
Albacete;"Montealegre del Castillo";02650;-1.324876720;38.787174690
Albacete;Motilleja;02220;-1.790257620;39.179488850
Albacete;Munera;02612;-2.483038800;39.039545750
Albacete;"Navas de Jorquera";02246;-1.718948500;39.280995130
Albacete;Nerpio;02530;-2.302240290;38.148240430
Albacete;Nerpio;02534;-2.302240290;38.148240430
Albacete;Nerpio;02535;-2.302240290;38.148240430
Albacete;Nerpio;02536;-2.302240290;38.148240430
Albacete;Nerpio;02537;-2.302240290;38.148240430
Albacete;Nerpio;02538;-2.302240290;38.148240430
Albacete;Nerpio;02539;-2.302240290;38.148240430
Albacete;Ontur;02652;-1.498881660;38.614726610
Albacete;"Ossa de Montiel";02611;-2.742726640;38.962010350
Albacete;"Paterna del Madera";02136;-2.345557660;38.597294350
Albacete;"Paterna del Madera";02137;-2.345557660;38.597294350
Albacete;"Paterna del Madera";02138;-2.345557660;38.597294350
Albacete;"Paterna del Madera";02459;-2.345557660;38.597294350
Albacete;Peñascosa;02138;-2.410404990;38.671535360
Albacete;Peñascosa;02313;-2.410404990;38.671535360
Albacete;Peñascosa;02314;-2.410404990;38.671535360
Albacete;"Peñas de San Pedro";02120;-2.002127870;38.726888810
Albacete;"Peñas de San Pedro";02127;-2.002127870;38.726888810
Albacete;"Peñas de San Pedro";02128;-2.002127870;38.726888810
Albacete;Pétrola;02692;-1.555499810;38.826298140
Albacete;Povedilla;02311;-2.603936270;38.701639710
Albacete;Pozohondo;02129;-1.911333560;38.721122000
Albacete;Pozohondo;02141;-1.911333560;38.721122000
Albacete;Pozohondo;02142;-1.911333560;38.721122000
Albacete;Pozo-Lorente;02154;-1.506478550;39.076630240
Albacete;Pozuelo;02327;-2.101173840;38.809696250
Albacete;"La Recueja";02249;-1.489887790;39.176883190
Albacete;Riópar;02450;-2.418393110;38.499809900
Albacete;Riópar;02459;-2.418393110;38.499809900
Albacete;Riópar;02462;-2.418393110;38.499809900
Albacete;Robledo;02331;-2.448826820;38.757784520
Albacete;Robledo;02332;-2.448826820;38.757784520
Albacete;Robledo;02340;-2.448826820;38.757784520
Albacete;"La Roda";02630;-2.159247960;39.207065040
Albacete;"La Roda";02639;-2.159247960;39.207065040
Albacete;Salobre;02316;-2.550572560;38.591952580
Albacete;"San Pedro";02326;-2.186211000;38.826540040
Albacete;Socovos;02435;-1.984690650;38.332026320
Albacete;Socovos;02437;-1.984690650;38.332026320
Albacete;"Tarazona de la Mancha";02100;-1.912809790;39.265396470
Albacete;"Tarazona de la Mancha";02110;-1.912809790;39.265396470
Albacete;Tobarra;02500;-1.692822960;38.592273300
Albacete;Tobarra;02513;-1.692822960;38.592273300
Albacete;Tobarra;02514;-1.692822960;38.592273300
Albacete;Valdeganga;02150;-1.676469220;39.135451520
Albacete;Vianos;02315;-2.501490790;38.632307000
Albacete;"Villa de Ves";02213;-1.258976310;39.222315410
Albacete;"Villalgordo del Júcar";02636;-2.063091830;39.295986790
Albacete;Villamalea;02270;-1.599083530;39.361607850
Albacete;Villapalacios;02350;-2.635059470;38.574673590
Albacete;Villarrobledo;02600;-2.607143110;39.267557920
Albacete;Villarrobledo;02612;-2.607143110;39.267557920
Albacete;Villatoya;02215;-1.338585990;39.333852640
Albacete;Villavaliente;02154;-1.457996420;39.126457580
Albacete;"Villaverde de Guadalimar";02460;-2.517609500;38.456191620
Albacete;"Villaverde de Guadalimar";02462;-2.517609500;38.456191620
Albacete;Viveros;02310;-2.575909150;38.773634750
Albacete;Yeste;02480;-2.319030720;38.366438650
Albacete;Yeste;02482;-2.319030720;38.366438650
Albacete;Yeste;02484;-2.319030720;38.366438650
Albacete;Yeste;02485;-2.319030720;38.366438650
Albacete;Yeste;02486;-2.319030720;38.366438650
Albacete;Yeste;02487;-2.319030720;38.366438650
Albacete;Yeste;02488;-2.319030720;38.366438650
Albacete;Yeste;02489;-2.319030720;38.366438650
Albacete;"Pozo Cañada";02099;-1.736223170;38.801361000
Albacete;"Pozo Cañada";02510;-1.736223170;38.801361000
Alicante/Alacant;l'Atzúbia;03786;-0.151730350;38.847430290
Alicante/Alacant;Agost;03698;-0.638919790;38.439493160
Alicante/Alacant;Agres;03837;-0.515955430;38.780004040
Alicante/Alacant;Aigües;03569;-0.362586690;38.498870920
Alicante/Alacant;Albatera;03340;-0.867921410;38.178946360
Alicante/Alacant;Alcalalí;03723;-0.041607980;38.749653490
Alicante/Alacant;Alcalalí;03728;-0.041607980;38.749653490
Alicante/Alacant;"Alcocer de Planes";03841;-0.401970360;38.794472240
Alicante/Alacant;Alcoleja;03814;-0.331009250;38.675485640
Alicante/Alacant;Alcoy/Alcoi;03800;-0.473183760;38.698368940
Alicante/Alacant;Alcoy/Alcoi;03801;-0.473183760;38.698368940
Alicante/Alacant;Alcoy/Alcoi;03802;-0.473183760;38.698368940
Alicante/Alacant;Alcoy/Alcoi;03803;-0.473183760;38.698368940
Alicante/Alacant;Alcoy/Alcoi;03804;-0.473183760;38.698368940
Alicante/Alacant;Alcoy/Alcoi;03818;-0.473183760;38.698368940
Alicante/Alacant;Alfafara;03838;-0.555523390;38.772748280
Alicante/Alacant;"l'Alfàs del Pi";03580;-0.102600200;38.580094960
Alicante/Alacant;"l'Alfàs del Pi";03581;-0.102600200;38.580094960
Alicante/Alacant;Algorfa;03169;-0.795684230;38.086816370
Alicante/Alacant;Algueña;03668;-1.003037450;38.338001380
Alicante/Alacant;Alicante/Alacant;03001;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03002;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03003;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03004;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03005;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03006;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03007;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03008;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03009;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03010;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03011;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03012;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03013;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03014;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03015;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03016;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03112;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03113;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03114;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03115;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03138;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03409;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03540;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03559;-0.483183200;38.345487050
Alicante/Alacant;Alicante/Alacant;03699;-0.483183200;38.345487050
Alicante/Alacant;Almoradí;03160;-0.792017130;38.109779910
Alicante/Alacant;Almoradí;03179;-0.792017130;38.109779910
Alicante/Alacant;Almudaina;03827;-0.353706780;38.761557640
Alicante/Alacant;"l'Alqueria d'Asnar";03829;-0.425522670;38.773118020
Alicante/Alacant;Altea;03590;-0.051442360;38.598924970
Alicante/Alacant;Altea;03599;-0.051442360;38.598924970
Alicante/Alacant;Aspe;03680;-0.768491070;38.345772660
Alicante/Alacant;Balones;03812;-0.342373880;38.737010390
Alicante/Alacant;"Banyeres de Mariola";03450;-0.656856840;38.716359020
Alicante/Alacant;Benasau;03814;-0.342612640;38.689913290
Alicante/Alacant;Beneixama;03460;-0.766767430;38.700185330
Alicante/Alacant;Beneixama;03469;-0.766767430;38.700185330
Alicante/Alacant;Benejúzar;03390;-0.838195170;38.078063750
Alicante/Alacant;Benferri;03316;-0.962257900;38.141793520
Alicante/Alacant;Beniarbeig;03778;-0.001303640;38.821932190
Alicante/Alacant;Beniardá;03517;-0.216007640;38.683433560
Alicante/Alacant;Beniarrés;03850;-0.379042340;38.820078850
Alicante/Alacant;Benigembla;03794;-0.109826990;38.756335140
Alicante/Alacant;Benidoleig;03759;-0.031732390;38.791917000
Alicante/Alacant;Benidorm;03501;-0.130685300;38.534271360
Alicante/Alacant;Benidorm;03502;-0.130685300;38.534271360
Alicante/Alacant;Benidorm;03503;-0.130685300;38.534271360
Alicante/Alacant;Benifallim;03816;-0.399225590;38.662734190
Alicante/Alacant;Benifato;03517;-0.228889670;38.673694180
Alicante/Alacant;Benijófar;03178;-0.738280510;38.080840800
Alicante/Alacant;Benilloba;03810;-0.390820100;38.699559090
Alicante/Alacant;Benillup;03827;-0.378995800;38.753803010
Alicante/Alacant;Benimantell;03516;-0.209847980;38.676592540
Alicante/Alacant;Benimarfull;03827;-0.390998750;38.775848010
Alicante/Alacant;Benimassot;03812;-0.291855000;38.749058250
Alicante/Alacant;Benimeli;03769;-0.041464910;38.822966160
Alicante/Alacant;Benissa;03720;0.050433580;38.715196900
Alicante/Alacant;"Benitachell/el Poble Nou de Benitatxell";03726;0.144595590;38.732924160
Alicante/Alacant;Biar;03410;-0.765973740;38.629962290
Alicante/Alacant;Bigastro;03380;-0.895284760;38.063015580
Alicante/Alacant;Bolulla;03518;-0.111684940;38.676576810
Alicante/Alacant;Busot;03111;-0.420505680;38.481961800
Alicante/Alacant;Calp;03710;0.044538090;38.645262610
Alicante/Alacant;"Callosa d'en Sarrià";03510;-0.122350410;38.651640660
Alicante/Alacant;"Callosa de Segura";03317;-0.879338540;38.122581360
Alicante/Alacant;"Callosa de Segura";03360;-0.879338540;38.122581360
Alicante/Alacant;"el Campello";03560;-0.400865090;38.427547240
Alicante/Alacant;"Campo de Mirra/el Camp de Mirra";03469;-0.779253930;38.687196240
Alicante/Alacant;Cañada;03409;-0.809521720;38.675189170
Alicante/Alacant;Castalla;03420;-0.670265380;38.596576430
Alicante/Alacant;"Castell de Castells";03793;-0.193910540;38.724997040
Alicante/Alacant;Catral;03158;-0.804641750;38.159649590
Alicante/Alacant;Cocentaina;03820;-0.440220670;38.745412020
Alicante/Alacant;Cocentaina;03829;-0.440220670;38.745412020
Alicante/Alacant;Confrides;03517;-0.268108940;38.683537310
Alicante/Alacant;Cox;03350;-0.884375850;38.139721380
Alicante/Alacant;Crevillent;03158;-0.808553220;38.248814140
Alicante/Alacant;Crevillent;03330;-0.808553220;38.248814140
Alicante/Alacant;Crevillent;03339;-0.808553220;38.248814140
Alicante/Alacant;Quatretondeta;03811;-0.316419060;38.723866750
Alicante/Alacant;"Daya Nueva";03159;-0.761035250;38.113716720
Alicante/Alacant;"Daya Vieja";03177;-0.738057020;38.104724800
Alicante/Alacant;Dénia;03700;0.106619340;38.841227050
Alicante/Alacant;Dénia;03709;0.106619340;38.841227050
Alicante/Alacant;Dénia;03749;0.106619340;38.841227050
Alicante/Alacant;Dénia;03770;0.106619340;38.841227050
Alicante/Alacant;Dénia;03780;0.106619340;38.841227050
Alicante/Alacant;Dolores;03150;-0.769698690;38.138977360
Alicante/Alacant;Elche/Elx;03139;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03194;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03195;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03201;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03202;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03203;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03204;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03205;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03206;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03207;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03208;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03290;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03291;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03292;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03293;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03294;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03295;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03296;-0.697755810;38.267416620
Alicante/Alacant;Elche/Elx;03320;-0.697755810;38.267416620
Alicante/Alacant;Elda;03600;-0.796110460;38.478788940
Alicante/Alacant;Facheca;03813;-0.267713370;38.734675360
Alicante/Alacant;Famorca;03813;-0.246045520;38.732193380
Alicante/Alacant;Finestrat;03509;-0.211768800;38.566973490
Alicante/Alacant;"Formentera del Segura";03177;-0.746498530;38.084233770
Alicante/Alacant;"Formentera del Segura";03179;-0.746498530;38.084233770
